Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,1.0,NO,N/A,30.53%,28.66%,119.64%,15.34%,79.92,0.1421,1.0838,0.025,0.334,0.968,0.551
3,1.0,1.0,NO,N/A,25.11%,23.45%,98.29%,11.86%,67.78,1.01,1000.0,0.017,0.264,0.978,0.676
4,0.9,0.82,NO,N/A,21.31%,22.16%,84.72%,11.26%,67.05,0.1016,0.8387,0.013,0.258,0.983,0.693
5,0.94,0.87,NO,N/A,19.5%,20.7%,84.05%,10.43%,67.35,0.3946,1000.0,0.011,0.261,0.986,0.69
6,1.0,0.99,YES,3.51e-10,18.55%,18.56%,82.63%,9.1%,65.38,0.3844,1000.0,0.01,0.243,0.988,0.712
7,0.85,0.45,NO,N/A,17.38%,18.54%,79.89%,9.37%,64.67,0.0837,0.7142,0.009,0.237,0.989,0.719
8*,0.91,0.65,YES,Most Stab Sigs,16.17%,16.8%,77.88%,8.24%,64.11,0.0778,0.724,0.008,0.233,0.99,0.725
9,0.78,-0.41,NO,N/A,16.05%,16.89%,80.75%,8.16%,63.61,0.0769,0.6362,0.007,0.228,0.991,0.731
10,0.66,-0.28,NO,N/A,15.5%,16.62%,74.71%,8.03%,56.84,0.0748,0.5521,0.007,0.173,0.991,0.799
11,0.56,-0.34,NO,N/A,15.62%,16.21%,67.21%,7.82%,51.66,0.074,0.5057,0.007,0.142,0.991,0.815
12,0.5,-0.23,NO,N/A,14.92%,15.86%,64.08%,7.66%,50.58,0.0722,0.4434,0.006,0.137,0.992,0.822
13,0.53,-0.07,NO,N/A,14.15%,15.09%,59.74%,7.34%,51.6,0.0698,0.4905,0.006,0.142,0.993,0.815
14,0.54,-0.18,NO,N/A,14.0%,14.86%,55.44%,7.2%,50.74,0.069,0.428,0.006,0.138,0.993,0.821
15,0.53,-0.31,NO,N/A,13.38%,14.74%,52.94%,7.08%,50.56,0.0683,0.4354,0.005,0.137,0.993,0.823
16,0.48,-0.17,NO,N/A,12.79%,14.14%,46.86%,6.76%,49.44,0.0648,0.3936,0.005,0.131,0.994,0.831
17,0.49,-0.09,NO,N/A,12.37%,13.74%,46.56%,6.57%,49.71,0.062,0.3582,0.004,0.132,0.994,0.828
18,0.52,-0.2,NO,N/A,12.04%,13.43%,44.65%,6.41%,49.53,0.0604,0.3373,0.004,0.131,0.995,0.83
19,0.5,-0.27,NO,N/A,11.86%,13.61%,45.7%,6.39%,49.91,0.0608,0.3202,0.004,0.133,0.995,0.827
20,0.54,-0.04,NO,N/A,11.47%,12.6%,44.08%,6.0%,49.62,0.0554,0.3231,0.004,0.132,0.995,0.829
21,0.5,-0.11,NO,N/A,10.88%,12.37%,39.58%,5.81%,49.14,0.0546,0.3437,0.004,0.129,0.996,0.833
22,0.49,-0.05,NO,N/A,10.94%,12.58%,40.3%,5.86%,48.64,0.0552,0.3201,0.004,0.126,0.995,0.837
23,0.49,-0.17,NO,N/A,10.68%,12.08%,40.86%,5.6%,48.9,0.0549,0.3257,0.003,0.128,0.996,0.835
24,0.52,-0.35,NO,N/A,9.85%,11.57%,40.16%,5.46%,48.87,0.0516,0.3008,0.003,0.128,0.996,0.835
25,0.49,-0.4,NO,N/A,9.92%,11.76%,40.21%,5.57%,48.79,0.0516,0.3076,0.003,0.127,0.996,0.835
26,0.49,-0.26,NO,N/A,9.71%,11.15%,39.86%,5.3%,47.65,0.049,0.27,0.003,0.121,0.997,0.844
27,0.5,-0.31,NO,N/A,9.26%,10.47%,36.79%,5.03%,48.72,0.0457,0.3203,0.003,0.127,0.997,0.836
28,0.54,-0.08,NO,N/A,8.79%,9.8%,35.13%,4.7%,46.88,0.0423,0.213,0.002,0.117,0.997,0.849
29,0.53,0.01,NO,N/A,8.64%,9.75%,36.18%,4.58%,46.54,0.0422,0.2325,0.002,0.114,0.997,0.852
30,0.56,0.04,NO,N/A,8.26%,9.27%,37.94%,4.39%,46.16,0.0398,0.2176,0.002,0.113,0.997,0.854
